country,LifeExpectancyYrs_expectancy,FemaleLiteracyRate,WaterSourcePrct,WaterSourcePrct_2011_quart
Spain,82.2,NA,100,Q4
Sri Lanka,76,NA,88.3,Q2
St. Lucia,76,NA,95.8,Q3
St. Vincent and the Grenadines,71.7,NA,94.7,Q3
Sudan,66.5,63.2,53.3,Q1
Suriname,70.5,NA,94.2,Q3
Swaziland,48.9,87.3,63.4,Q1
Sweden,81.7,NA,100,Q4
Switzerland,82.5,NA,100,Q4
Syria,75,77.8,96.6,Q3
Tajikistan,69.9,99.6,70.5,Q1
Tanzania,59.9,NA,45.2,Q1
Thailand,76.9,NA,97.4,Q3
Timor-Leste,71.6,NA,64.5,Q1
Togo,59.6,48,58.2,Q1
Tonga,70,NA,99.5,Q4
Trinidad and Tobago,72.7,98.5,96.9,Q3
Tunisia,77,NA,92.7,Q2
Turkey,78.2,90.3,98.1,Q3
Turkmenistan,68.4,99.5,91.8,Q2
Uganda,57.7,NA,36.5,Q1
Ukraine,71.1,99.7,97.1,Q3
United Arab Emirates,76.5,NA,99.6,Q4
United Kingdom,80.5,NA,100,Q4
United States,78.8,NA,99.2,Q4
Uruguay,76.4,NA,98.6,Q3
Uzbekistan,69,99.2,91.5,Q2
Vanuatu,63.2,81.5,87.4,Q2
Venezuela,75.4,NA,97.2,Q3
Vietnam,73.3,91.4,87.4,Q2
Yemen,67.7,48.5,62.4,Q1
Zambia,53.2,NA,57.9,Q1
Zimbabwe,51.9,80.1,67.8,Q1
Palau,NA,NA,98.1,Q3
Liechtenstein,NA,NA,100,Q4
Monaco,NA,NA,100,Q4
Nauru,NA,NA,99.4,Q4
San Marino,NA,NA,100,Q4
St. Kitts and Nevis,NA,NA,99,Q3
Tuvalu,NA,NA,98.8,Q3
